city_name,line_name,run_time,ticket_price,company,last_update_time,line_sites
北京,北京949路公交车路线,运行时间：南口西站5:00-19:30|朝凤庵村6:30-21:00,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。最高票价6元。,北京公交集团第八客运分公司(服务热线:010-69143266),最后更新：2022-05-22,1 南口西站(南口西大桥)站点<->2 南口站点<->3 南口东站站点<->4 南口东街站点<->5 南口路口东站点<->6 红泥沟(龙虎台)站点<->7 昌平陈庄站点<->8 陈庄桥北站点<->9 辛力庄站点<->10 北京警察学院站点<->11 昌平太平庄站点<->12 北京大学昌平校区站点<->13 地铁昌平西山口站站点<->14 昌平涧头村西站点<->15 昌平涧头村东站点<->16 大宫门村西站点<->17 康陵园村东站点<->18 泰陵园村东站点<->19 十三陵镇政府站点<->20 昌平胡庄路口西站点<->21 长陵园村北站点<->22 长陵园站点<->23 南新村北口站点<->24 仙人洞村站点<->25 中山口路(北环市场)站点<->None<->None<->26 东环北路北口(昌平妇幼保健院)站点<->27 昌平东环北路站点<->28 昌平一中站点<->29 中国政法大学北门(昌平)站点<->30 松园小区西门站点<->31 亢山广场站点<->32 昌平东关站点<->33 前锋学校站点<->34 朝凤庵村站点<->
北京,北京807区间公交车路线,运行时间：大方居6:10-8:15,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。,北京公交集团第五客运分公司(服务热线:010-61502660),最后更新：2022-05-22,1 大方居站点<->2 通州半壁店新村站点<->3 通州半壁店站点<->4 翠屏西路站点<->5 翠屏北里站点<->6 大北窑南站点<->
北京,北京978路公交车路线,运行时间：丰台河西村6:00-21:00|云岗6:40-21:40,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。最高票价3元。,北京公交集团第三客运分公司(服务热线:010-67606970),最后更新：2022-05-22,1 丰台河西村站点<->2 南宫南站站点<->3 林家坟站点<->4 王佐桥西站点<->5 怪村公交场站站点<->6 怪村站点<->7 南洛平村站点<->8 北洛平村站点<->9 文林北街东口站点<->10 栗园村西站点<->11 栗园村站点<->12 民族苑路站点<->13 丰台瓦窑东口站点<->14 丰台下庄村站点<->15 西王佐北站点<->16 王佐卫生院站点<->17 王佐学校站点<->18 东王佐站点<->19 南宫北站站点<->20 云岗站点<->
北京,北京381通勤快车公交车路线,运行时间：欣旺北大街北口 工作日6:00-9:30、16:00-19:30 周六日、节假日停驶|白纸坊桥南 工作日6:35-10:05、16:35-20:05 周六日、节假日停驶,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。最高票价3元。,北京公交集团第三客运分公司(服务热线:010-67606970),最后更新：2022-05-22,1 欣旺北大街北口站点<->2 兴都苑小区站点<->3 宏盛家园站点<->4 兴海家园站点<->5 西红门北站站点<->6 玉泉营桥北站点<->7 菜户营桥东站点<->8 白纸坊桥南站点<->
北京,北京400路外环[公益桥]公交车路线,运行时间：公益桥5:30-20:00,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。,北京公交集团第三客运分公司(服务热线:010-67606970),最后更新：2022-05-22,1 公益桥站点<->2 公益东桥西站点<->3 大红门桥站点<->4 大红门东桥西站点<->5 榴乡桥西站点<->6 肖村桥站点<->7 小红门桥站点<->8 十八里店南桥东站点<->9 十八里店北桥站点<->10 小武基桥南站点<->11 小武基桥北站点<->12 弘燕桥北站点<->13 工大桥站点<->14 窑洼湖桥北站点<->15 大郊亭桥南站点<->16 四惠桥站点<->17 慈云寺桥南站点<->18 红领巾桥南站点<->19 红领巾桥北站点<->20 朝阳公园桥北站点<->21 大山庄站点<->22 东风北桥站点<->23 东风北桥北站点<->24 望京桥东站点<->25 望京桥西站点<->None<->None<->26 望和桥东站点<->27 望和桥站点<->28 育慧里站点<->29 惠新东桥西站点<->30 安慧桥东站点<->31 亚运村站点<->32 北辰西桥站点<->33 健翔桥东站点<->34 健翔桥西站点<->35 志新桥西站点<->36 学院桥东站点<->37 北京城市学院站点<->38 保福寺桥西站点<->39 中关村一街站点<->40 中关村西站点<->41 万泉河桥东站点<->42 六郎庄站点<->43 火器营桥西站点<->44 四海桥南站点<->45 南坞站点<->46 东冉村站点<->47 四季青桥北站点<->48 四季青桥南站点<->49 营慧寺站点<->50 五路桥站点<->51 定慧桥北站点<->52 定慧桥南站点<->53 金沟河站点<->54 金沟河桥南站点<->55 五棵松桥南站点<->56 南沙窝桥站点<->57 青塔站点<->58 郑常庄站点<->59 岳各庄站点<->60 岳各庄桥北站点<->61 丰台路口站点<->62 岔路口站点<->63 北大地站点<->64 正阳桥北站点<->65 看丹桥站点<->66 富丰桥南站点<->67 怡海花园南门站点<->68 花乡桥西站点<->69 花乡桥站点<->70 花乡桥东站点<->71 黄土岗站点<->72 公益西桥西站点<->73 公益西桥站点<->
北京,北京77路公交车路线,运行时间：晓月苑小区5:30-22:00|外文印刷厂西门6:30-23:00,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。最高票价5元。,北京公交集团第三客运分公司(服务热线:010-67606970),最后更新：2022-05-22,1 晓月苑小区站点<->2 晓月苑二里站点<->3 晓月苑一里站点<->4 抗战雕塑园站点<->5 西道口东站点<->6 南五里店站点<->7 程庄路口东站点<->8 丰台医院站点<->9 正阳桥北站点<->10 北大地站点<->11 北大街站点<->12 东大街北口站点<->13 万丰路南口站点<->14 于庄子站点<->15 小井路口南站点<->16 白塔村站点<->17 莲宝路口南站点<->18 莲宝路口北站点<->19 金家村桥北站点<->20 万寿路口东站点<->21 翠微路口站点<->22 公主坟西站点<->23 八一湖站点<->24 航天桥南站点<->25 航天桥北站点<->None<->None<->26 花园桥北站点<->27 紫竹桥南站点<->28 紫竹院南门站点<->29 中新小区站点<->30 外文印刷厂西门站点<->
北京,北京896路公交车路线,运行时间：梨村公交场站4:45-19:00|七里庄6:15-20:40,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。最高票价6元。,北京公交集团第六客运分公司(服务热线:010-61251414),最后更新：2022-05-22,1 梨村公交场站站点<->2 梨村站点<->3 燕保阜盛家园站点<->4 知兴东路站点<->5 地铁良乡大学城站东站点<->6 地铁良乡大学城站站点<->7 理工睿府站点<->8 阳光南大街站点<->9 东羊庄新村站点<->10 良乡伟业嘉园站点<->11 昊天公园南门站点<->12 良乡东关路口北站点<->13 昊天温泉家园站点<->14 良乡火车站路口站点<->15 送变电公司南站点<->16 送变电公司站点<->17 黄辛庄路口站点<->18 长阳碧桂园站点<->19 昊天北桥南站点<->20 昊天北桥北站点<->21 黄管屯站点<->22 黄管屯北站点<->23 南岗洼站点<->24 北岗洼站点<->25 赵辛店村站点<->None<->None<->26 北京十中站点<->27 长辛店南口站点<->28 长辛店北口站点<->29 杜家坎南站点<->30 杜家坎站点<->31 卢沟新桥站点<->32 抗战雕塑园站点<->33 西道口站点<->34 丰台路口站点<->35 丰台体育中心站点<->36 丰北桥东站点<->37 七里庄站点<->
北京,北京400路内环公交车路线,运行时间：德贤路5:20-21:00,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。最高票价15元。,北京公交集团第三客运分公司(服务热线:010-67606970),最后更新：2022-05-22,1 德贤路站点<->2 德贤路北站站点<->3 庑殿桥南站点<->4 榴乡桥南站点<->5 榴乡桥西站点<->6 大红门东桥西站点<->7 大红门桥站点<->8 公益东桥站点<->9 公益桥站点<->10 公益西桥站点<->11 公益西桥西站点<->12 黄土岗站点<->13 花乡桥东站点<->14 花乡桥站点<->15 花乡桥西站点<->16 怡海花园南门站点<->17 富丰桥南站点<->18 看丹桥站点<->19 正阳桥北站点<->20 北大地站点<->21 岔路口站点<->22 丰台路口站点<->23 岳各庄桥北站点<->24 岳各庄站点<->25 郑常庄站点<->None<->None<->26 青塔站点<->27 南沙窝桥站点<->28 五棵松桥南站点<->29 金沟河桥南站点<->30 金沟河站点<->31 定慧桥南站点<->32 定慧桥北站点<->33 五路桥站点<->34 营慧寺站点<->35 四季青桥南站点<->36 四季青桥北站点<->37 东冉村站点<->38 南坞站点<->39 四海桥南站点<->40 火器营桥西站点<->41 六郎庄站点<->42 万泉河桥东站点<->43 中关村西站点<->44 中关村一街站点<->45 保福寺桥西站点<->46 北京城市学院站点<->47 学院桥西站点<->48 学院桥东站点<->49 志新桥西站点<->50 健翔桥西站点<->51 健翔桥东站点<->52 北辰西桥站点<->53 亚运村站点<->54 安慧桥东站点<->55 惠新东桥东站点<->56 育慧里站点<->57 望和桥站点<->58 望和桥东站点<->59 望京桥西站点<->60 望京桥东站点<->61 东风北桥北站点<->62 东风北桥站点<->63 大山庄站点<->64 朝阳公园桥南站点<->65 红领巾桥北站点<->66 红领巾桥南站点<->67 慈云寺桥南站点<->68 四惠桥站点<->69 大郊亭桥南站点<->70 窑洼湖桥北站点<->71 工大桥站点<->72 弘燕桥北站点<->73 小武基桥北站点<->74 小武基桥南站点<->75 十八里店北桥站点<->76 十八里店南桥站点<->77 小红门桥站点<->78 肖村桥站点<->79 榴乡桥西站点<->80 榴乡桥南站点<->81 庑殿桥南站点<->82 德贤路北站站点<->83 德贤路站点<->
北京,北京321路公交车路线,运行时间：六里桥东5:50-23:00|南宫南站5:00-22:00,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。最高票价5元。,北京公交集团第三客运分公司(服务热线:010-67606970),最后更新：2022-05-22,1 六里桥东站点<->2 赵辛店北站点<->3 朱家坟站点<->4 佃起村站点<->5 云岗北区站点<->6 南宫北站站点<->7 南宫站点<->8 南宫新苑小区站点<->9 南宫南站站点<->
北京,北京483通勤快车公交车路线,运行时间：西红门西站 工作日6:00-9:30、16:00-19:30 周六日、节假日停驶|丰台北路 工作日6:40-10:10、16:40-20:10 周六日、节假日停驶,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。最高票价3元。,北京公交集团第三客运分公司(服务热线:010-67606970),最后更新：2022-05-22,1 西红门西站站点<->2 欣和街南口站点<->3 欣和街口站点<->4 兴海公园站点<->5 兴海学校站点<->6 宏福路东口站点<->7 西红门北站站点<->8 玉泉营桥西站点<->9 夏家胡同站点<->10 地铁西局站站点<->11 丰台北路站点<->
